TICKER	Name
SBER	ПАО Сбербанк, ао
SBERP	ПАО Сбербанк, ап
GAZP	"ПАО ""Газпром"", ао"
LKOH	"ПАО ""ЛУКОЙЛ"", ао"
NVTK	"ПАО ""НОВАТЭК"", ао"
MGNT	"ПАО ""Магнит"", ао"
GMKN	"ПАО ""ГМК ""Норильский никель"", ао"
SNGS	"ОАО ""Сургутнефтегаз"", ао"
SNGSP	"ОАО ""Сургутнефтегаз"", ап"
ROSN	"ПАО ""НК ""Роснефть"", ао"
VTBR	Банк ВТБ (ПАО), ао
TRNFP	"ПАО ""Транснефть"", ап"
TATN	"ПАО ""Татнефть"" им. В.Д. Шашина, ао"
TATNP	"ПАО ""Татнефть"" им. В.Д. Шашина, ап"
MTSS	"ПАО ""МТС"", ао"
ALRS	"АК ""АЛРОСА"" (ПАО), ао"
MOEX	ПАО Московская Биржа, ао
CHMF	"ПАО ""Северсталь"", ао"
IRAO	"ПАО ""Интер РАО"", ао"
POLY	Полиметалл Интернэшнл плс, акции иностранного эмитента
NLMK	"ПАО ""НЛМК"", ао"
YNDX	Яндекс Н.В., акции иностранного эмитента
HYDR	"ПАО ""РусГидро"", ао"
AFKS	"ПАО АФК ""Система"", ао"
PHOR	"ПАО ""ФосАгро"", ао"
AFLT	"ПАО ""Аэрофлот"", ао"
RTKM	"ПАО ""Ростелеком"", ао"
RTKMP	"ПАО ""Ростелеком"", ап"
MFON	"ПАО ""МегаФон"", ао"
FEES	"ПАО ""ФСК ЕЭС"", ао"
RUAL	Юнайтед Компани РУСАЛ Плс, акции иностранного эмитента
MAGN	"ОАО ""ММК"", ао"
PLZL	"ПАО ""Полюс"", ао"
MTLR	"ПАО ""Мечел"", ао"
MTLRP	"ПАО ""Мечел"", ап"
PIKK	"ПАО ""Группа Компаний ПИК"", ао"
URKA	"ПАО ""Уралкалий"", ао"
UPRO	"ПАО ""Юнипро"", ао"
MVID	"ПАО ""М.видео"", ао"
CBOM	"ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"", ао"
BANEP	"ПАО АНК ""Башнефть"", ап"
TRMK	"ПАО ""ТМК"", ао"
RSTI	"ПАО ""Россети"", ао"
AKRN	"ПАО ""Акрон"", ао"
AGRO	РОС АГРО ПЛС, ДР иностранного эмитента на акции (эмитент ДР —The Bank of New York Mellon Corporation)
UWGN	"ПАО ""НПК ОВК"", ао"
NMTP	"ПАО ""НМТП"", ао"
LSRG	"ПАО ""Группа ЛСР"", ао"
MSNG	"ПАО ""Мосэнерго"", ао"
DIXY	"ПАО ""ДИКСИ Групп"", ао"
